category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,The Pocket Park,park,,,,,53.7537081,-2.3928488,,,,,,1295209308,way,2026-03-06T09:52:37.365348
attractions,Worsley Park,park,,,,,53.7166215,-2.3233488,,,,,,1305519479,way,2026-03-06T09:52:37.365352
attractions,Burnley Crematorium,park,,,,,53.7823899,-2.2888242,,,,,,1305975324,way,2026-03-06T09:52:37.365354
attractions,Pan Beck Fen SSSI,nature_reserve,,,,,53.9996776,-2.2331987,,,,,,1311255317,way,2026-03-06T09:52:37.365356
attractions,Hesley Moss SSSI,nature_reserve,,,,,54.0373211,-2.3325318,,,,,,1311327833,way,2026-03-06T09:52:37.365358
attractions,Cocket Moss SSSI,nature_reserve,,,,,54.0520564,-2.3265747,,,,,,1312107634,way,2026-03-06T09:52:37.365360
attractions,Dunkenhalgh Park,park,,,,,53.7658979,-2.4010357,,,,,,1340125236,way,2026-03-06T09:52:37.365361
attractions,Roe Lee Park,park,,,,,53.7721918,-2.4753004,,,,,,1345182915,way,2026-03-06T09:52:37.365364
attractions,Jubilee Gardens,park,,,,,53.7427414,-2.3977635,,,,,,1396214620,way,2026-03-06T09:52:37.365366
attractions,Longton Brickcroft Nature Reserve,nature_reserve,,,,,53.720539,-2.7872481,,,,,,1418318667,way,2026-03-06T09:52:37.365368
attractions,Longton Brickcroft Nature Reserve,nature_reserve,,,,,53.7183417,-2.7902547,,,,,,1418318668,way,2026-03-06T09:52:37.365372
attractions,Standridge Farm Pasture,nature_reserve,,,,,53.9760206,-2.4080438,,,,,,1428270961,way,2026-03-06T09:52:37.365374
attractions,Barn Gill Meadow,nature_reserve,,,,,53.9876186,-2.4111532,,,,,,1428278247,way,2026-03-06T09:52:37.365376
attractions,Black Knights Skydiving Centre,attraction,,,,,53.9632764,-2.8358404,,,,,,1429901243,way,2026-03-06T09:52:37.365378
attractions,Tottie's Park,park,,,,,53.9995659,-2.1777649,,,,,,1456880777,way,2026-03-06T09:52:37.365380
attractions,Grimsargh Wetlands,nature_reserve,,,,,53.8069256,-2.6227175,,https://www.grimsarghwetlands.org/,,,,1472099532,way,2026-03-06T09:52:37.365382
attractions,Ryelands Nature Reserve,nature_reserve,,,,,54.0589978,-2.8124634,,https://rewildingroots.org,,,,1473800349,way,2026-03-06T09:52:37.365383
